date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-26,2905.79,2915.3,2882.23,2875.7,1684282.0,-21.42,-0.74,2876.05,2838.341,2814.585,1770194.4,1451410.58,1378905.92
2018-07-25,2911.45,2912.31,2903.65,2894.04,1678002.12,-1.91,-0.07,2854.114,2833.884,2809.818,1662310.98,1429962.58,1353870.77
2018-07-24,2862.27,2911.46,2905.56,2862.27,2295783.0,46.02,1.61,2830.836,2821.296,2805.295,1568632.88,1388983.51,1334681.09
2018-07-23,2815.2,2863.57,2859.54,2809.62,1733828.0,30.27,1.07,2809.35,2813.503,2802.242,1320294.73,1276467.96,1282851.17
2018-07-20,2769.75,2837.86,2829.27,2753.84,1459076.88,56.72,2.05,2800.25,2809.06,2802.232,1189063.43,1224634.48,1257118.61
2018-07-19,2791.02,2805.01,2772.55,2764.49,1144864.88,-14.71,-0.53,2800.632,2800.856,2805.257,1132626.75,1215021.16,1247236.33
2018-07-18,2801.78,2818.4,2787.26,2786.04,1209611.62,-10.87,-0.39,2813.654,2796.989,2810.42,1197614.17,1229760.79,1267182.26
2018-07-17,2806.89,2806.92,2798.13,2774.76,1054092.25,-15.91,-0.56,2811.756,2794.176,2816.843,1209334.15,1232061.8,1278852.39
2018-07-16,2827.08,2837.51,2814.04,2804.49,1077671.5,-17.14,-0.6,2817.656,2793.052,2822.328,1232641.2,1269151.04,1341422.81
2018-07-13,2831.43,2835.46,2831.18,2818.85,1176893.5,-6.48,-0.23,2817.87,2789.204,2832.721,1260205.52,1298418.92,1359805.53
2018-07-12,2771.04,2844.19,2837.66,2771.04,1469802.0,59.89,2.16,2801.08,2790.828,2843.37,1297415.57,1306401.26,1358695.59
2018-07-11,2780.7,2794.36,2777.77,2752.44,1268211.5,-49.86,-1.76,2780.324,2785.752,2853.977,1261907.4,1277778.97,1345009.44
2018-07-10,2819.71,2828.49,2827.63,2800.63,1170627.5,12.52,0.45,2776.596,2789.293,2869.078,1254789.45,1280378.66,1338236.41
2018-07-09,2752.45,2815.79,2815.11,2752.45,1215493.12,67.88,2.47,2768.448,2790.981,2880.336,1305660.87,1289234.37,1333986.93
2018-07-06,2731.35,2768.87,2747.23,2691.02,1362943.75,13.35,0.49,2760.538,2795.404,2892.938,1336632.32,1289602.75,1340556.39
2018-07-05,2755.34,2777.52,2733.88,2727.94,1292261.12,-25.25,-0.92,2780.576,2809.657,2911.051,1315386.95,1279451.5,1336301.69
2018-07-04,2776.63,2793.18,2759.13,2754.16,1232621.75,-27.76,-1.0,2791.18,2823.85,2930.116,1293650.55,1304603.73,1331786.7
2018-07-03,2774.57,2786.89,2786.89,2722.45,1424984.62,11.33,0.41,2801.99,2839.51,2947.87,1305967.88,1325642.98,1329523.41
2018-07-02,2841.58,2845.68,2775.56,2756.82,1370350.38,-71.86,-2.52,2813.514,2851.603,2963.085,1272807.88,1413694.59,1315571.13
